timestamp,rtt_ms_mean,rtt_ms_min,rtt_ms_max,count
2026-05-11T15:36:41.465190,1524.526,891.240,2158.270,11
2026-05-11T15:36:42.465190,1425.633,1371.020,1518.880,7
2026-05-11T15:36:43.465190,1445.689,1436.630,1458.250,7
2026-05-11T15:36:44.465190,1450.829,1350.960,1511.380,7
2026-05-11T15:36:45.465190,1487.514,1460.910,1517.470,7
2026-05-11T15:36:46.465190,1465.473,1422.000,1499.360,7
2026-05-11T15:36:47.465190,1445.220,1408.990,1480.870,6
2026-05-11T15:36:48.465190,1630.809,1470.970,1939.710,7
2026-05-11T15:36:49.465190,1998.223,1978.180,2014.750,6
2026-05-11T15:36:50.465190,1810.060,1622.840,1909.480,4
2026-05-11T15:36:51.465190,1439.804,1390.330,1494.620,7
2026-05-11T15:36:52.465190,1356.026,1323.800,1407.880,7
2026-05-11T15:36:53.465190,1414.326,1349.280,1476.130,7
2026-05-11T15:36:54.465190,1494.426,1453.450,1535.360,7
2026-05-11T15:36:55.465190,1411.403,1337.100,1466.450,7
2026-05-11T15:36:56.465190,1416.280,1372.900,1442.840,7
2026-05-11T15:36:57.465190,1419.624,1385.370,1456.970,7
2026-05-11T15:36:58.465190,1392.331,1329.740,1492.980,7
2026-05-11T15:36:59.465190,1513.449,1495.720,1539.310,7
2026-05-11T15:37:00.465190,1584.170,1522.040,1678.410,7
2026-05-11T15:37:01.465190,1604.683,1498.660,1666.670,6
2026-05-11T15:37:02.465190,1481.648,1437.930,1546.990,6
2026-05-11T15:37:03.465190,1411.677,1392.500,1446.060,7
2026-05-11T15:37:04.465190,1508.886,1457.620,1536.270,7
2026-05-11T15:37:05.465190,1496.143,1485.990,1502.050,6
2026-05-11T15:37:06.465190,1434.627,1402.970,1472.080,7
2026-05-11T15:37:07.465190,1410.930,1372.180,1442.950,7
2026-05-11T15:37:08.465190,1435.891,1413.550,1458.480,7
2026-05-11T15:37:09.465190,1500.787,1471.720,1550.610,7
2026-05-11T15:37:10.465190,1463.074,1420.280,1500.290,7
