timestamp,rtt_ms_mean,rtt_ms_min,rtt_ms_max,count
2026-05-12T11:45:43.733470,1267.665,196.050,2333.620,13
2026-05-12T11:45:44.733470,1603.687,1231.240,2342.050,3
2026-05-12T11:45:45.733470,1219.108,178.150,2420.670,11
2026-05-12T11:45:46.733470,1899.722,1358.700,2352.730,5
2026-05-12T11:45:47.733470,767.318,135.240,1461.920,6
2026-05-12T11:45:48.733470,936.939,131.360,1388.050,10
2026-05-12T11:45:49.733470,937.752,579.580,1255.150,10
2026-05-12T11:45:50.733470,1037.292,522.300,1328.280,13
2026-05-12T11:45:51.733470,932.298,459.130,1847.960,8
2026-05-12T11:45:52.733470,1364.753,439.300,1845.860,9
2026-05-12T11:45:53.733470,1197.889,124.950,2372.380,11
2026-05-12T11:45:54.733470,1790.474,1169.730,2217.290,5
2026-05-12T11:45:55.733470,1165.176,123.260,2514.800,9
2026-05-12T11:45:56.733470,1921.974,167.750,2644.350,7
2026-05-12T11:45:57.733470,1843.097,203.910,2665.170,3
2026-05-12T11:45:58.733470,2560.861,154.640,6513.800,11
2026-05-12T11:45:59.733470,3939.085,1329.880,6548.290,2
2026-05-12T11:46:00.733470,5556.768,5319.730,5810.760,6
2026-05-12T11:46:04.733470,1661.920,1661.920,1661.920,1
2026-05-12T11:46:05.733470,1428.450,1268.160,1653.350,5
2026-05-12T11:46:06.733470,1152.386,1051.730,1248.310,7
2026-05-12T11:46:07.733470,2005.460,1325.980,2629.220,9
2026-05-12T11:46:08.733470,2389.397,33.370,3836.230,6
2026-05-12T11:46:09.733470,14365.923,2805.430,20314.540,3
2026-05-12T11:46:10.733470,19703.843,19592.720,19832.710,3
2026-05-12T11:46:11.733470,18696.240,18696.240,18696.240,1
2026-05-12T11:46:12.733470,18475.175,18309.880,18693.240,4
2026-05-12T11:46:29.733470,1640.303,1617.010,1652.070,3
2026-05-12T11:46:30.733470,1675.579,1640.980,1725.470,7
2026-05-12T11:46:31.733470,1665.875,1623.340,1714.750,6
2026-05-12T11:46:32.733470,1739.970,1699.390,1761.310,6
2026-05-12T11:46:33.733470,1776.282,1729.290,1813.700,5
2026-05-12T11:46:34.733470,1920.282,1745.160,2117.060,6
2026-05-12T11:46:35.733470,2176.706,2148.480,2202.330,5
2026-05-12T11:46:36.733470,2046.273,1966.500,2136.380,4
2026-05-12T11:46:37.733470,1765.515,1672.690,1900.340,6
2026-05-12T11:46:38.733470,1624.888,1607.160,1649.530,5
2026-05-12T11:46:39.733470,1624.756,1571.240,1715.210,7
2026-05-12T11:46:40.733470,1764.072,1675.160,1876.580,6
2026-05-12T11:46:41.733470,1840.300,1810.210,1855.030,5
2026-05-12T11:46:42.733470,1763.057,1718.060,1805.830,6
2026-05-12T11:46:43.733470,1771.242,1717.790,1825.590,5
2026-05-12T11:46:44.733470,1731.078,1697.260,1763.040,6
2026-05-12T11:46:45.733470,1759.595,1703.590,1860.260,6
2026-05-12T11:46:46.733470,1996.302,1938.960,2018.580,6
2026-05-12T11:46:47.733470,1924.825,1850.530,1981.450,4
2026-05-12T11:46:48.733470,1646.266,1600.720,1741.060,5
2026-05-12T11:46:49.733470,1662.120,1648.570,1687.680,7
2026-05-12T11:46:50.733470,1630.458,1573.150,1701.290,6
2026-05-12T11:46:51.733470,1559.914,1552.860,1572.200,5
