timestamp,cpu_percent,mem_percent,mem_used_mb,swap_percent,load_avg_1m
2026-05-11T15:36:40.938869,17.9,65.3,2258,0.0,1.009765625
2026-05-11T15:36:42.113310,52.6,65.9,2280,0.0,1.32958984375
2026-05-11T15:36:44.569315,55.0,66.9,2314,0.0,1.32958984375
2026-05-11T15:36:46.903502,55.7,66.9,2315,0.0,1.46337890625
2026-05-11T15:36:49.242415,72.1,72.2,2498,0.0,1.46337890625
2026-05-11T15:36:52.154205,58.7,67.2,2323,0.0,1.5068359375
2026-05-11T15:36:54.463221,57.5,66.9,2313,0.0,1.5068359375
2026-05-11T15:36:56.959772,53.0,67.0,2315,0.0,1.4658203125
2026-05-11T15:36:59.345708,54.4,67.3,2326,0.0,1.4658203125
2026-05-11T15:37:01.805690,75.2,67.2,2325,0.0,1.5888671875
2026-05-11T15:37:04.324649,57.7,67.2,2325,0.0,1.5888671875
2026-05-11T15:37:06.815031,56.2,67.6,2338,0.0,1.54150390625
2026-05-11T15:37:09.113406,52.4,66.4,2295,0.0,1.54150390625
2026-05-11T15:37:11.654760,63.3,71.5,2472,0.0,1.498046875
2026-05-11T15:37:14.276665,76.8,67.6,2337,0.0,1.498046875
2026-05-11T15:37:16.929564,52.9,68.2,2358,0.0,1.4580078125
2026-05-11T15:37:19.390842,54.9,68.0,2350,0.0,1.4580078125
2026-05-11T15:37:21.638984,54.6,67.8,2344,0.0,1.4208984375
2026-05-11T15:37:24.136840,75.6,67.6,2339,0.0,1.4208984375
2026-05-11T15:37:34.154667,92.3,75.6,2615,0.0,2.1796875
2026-05-11T15:37:36.735392,93.9,75.0,2594,0.0,2.24560546875
2026-05-11T15:37:38.899999,85.1,74.7,2583,0.0,2.24560546875
2026-05-11T15:37:40.721244,85.8,73.8,2553,0.0,2.24560546875
2026-05-11T15:37:42.533766,85.2,74.6,2579,0.0,2.1455078125
2026-05-11T15:37:44.381023,87.9,74.6,2580,0.0,2.1455078125
2026-05-11T15:37:46.452373,87.5,74.7,2582,0.0,2.1337890625
2026-05-11T15:37:48.202234,92.9,79.5,2748,0.0,2.1337890625
2026-05-11T15:37:50.471449,92.2,74.2,2565,0.0,2.1337890625
2026-05-11T15:37:52.180320,86.8,74.2,2565,0.0,2.20361328125
2026-05-11T15:37:54.114000,87.6,74.6,2580,0.0,2.20361328125
2026-05-11T15:37:55.749799,87.2,74.1,2563,0.0,2.20361328125
2026-05-11T15:37:57.800119,83.7,74.1,2563,0.0,2.34765625
2026-05-11T15:37:59.820565,94.3,78.9,2728,0.0,2.34765625
2026-05-11T15:38:01.923814,88.7,74.5,2576,0.0,2.39990234375
2026-05-11T15:38:03.591212,87.9,74.7,2583,0.0,2.39990234375
2026-05-11T15:38:05.596694,86.3,74.2,2566,0.0,2.39990234375
2026-05-11T15:38:07.159065,83.9,74.7,2584,0.0,2.28759765625
2026-05-11T15:38:08.603618,86.2,75.0,2594,0.0,2.28759765625
2026-05-11T15:38:10.789811,94.1,78.8,2726,0.0,2.28759765625
2026-05-11T15:38:12.859311,91.7,73.9,2555,0.0,2.3447265625
2026-05-11T15:38:14.638525,88.1,74.2,2565,0.0,2.3447265625
2026-05-11T15:38:16.242809,91.0,74.8,2587,0.0,2.3447265625
2026-05-11T15:38:17.826931,90.0,74.8,2587,0.0,2.3974609375
2026-05-11T15:38:19.915757,86.6,74.7,2583,0.0,2.3974609375
2026-05-11T15:38:21.460871,89.3,74.7,2582,0.0,2.3974609375
2026-05-11T15:38:22.929323,88.5,74.9,2589,0.0,2.44580078125
2026-05-11T15:38:24.255234,91.5,74.5,2577,0.0,2.44580078125
2026-05-11T15:38:26.952777,94.4,74.6,2579,0.0,2.73046875
2026-05-11T15:38:28.282018,89.4,74.8,2588,0.0,2.73046875
2026-05-11T15:38:29.568627,88.1,75.3,2604,0.0,2.73046875
2026-05-11T15:38:31.960199,85.2,74.9,2589,0.0,2.671875
2026-05-11T15:38:34.193131,88.1,75.3,2603,0.0,2.671875
2026-05-11T15:38:36.413816,89.0,74.4,2573,0.0,2.7783203125
2026-05-11T15:38:38.347122,88.9,74.6,2581,0.0,2.7783203125
2026-05-11T15:38:39.984021,85.8,75.0,2595,0.0,2.7783203125
2026-05-11T15:38:41.704334,88.3,75.0,2594,0.0,2.95654296875
