timestamp,cpu_percent,mem_percent,mem_used_mb,swap_percent,load_avg_1m
2026-05-12T11:43:55.222007,16.1,78.4,2554,0.0,0.67333984375
2026-05-12T11:43:56.318067,15.9,78.9,2572,0.0,0.67333984375
2026-05-12T11:44:10.473809,0.0,72.7,2298,0.0,0.9541015625
2026-05-12T11:44:16.612228,63.1,73.1,2308,0.0,0.9541015625
2026-05-12T11:44:32.235689,87.4,80.7,2550,0.0,1.9052734375
2026-05-12T11:44:33.964240,72.9,85.2,2691,0.0,1.9130859375
2026-05-12T11:44:38.518525,75.1,87.8,2773,0.0,1.9130859375
2026-05-12T11:44:39.561280,31.9,82.9,2617,0.0,1.9130859375
2026-05-12T11:44:40.599978,81.3,83.1,2624,0.0,2.00048828125
2026-05-12T11:44:41.691690,82.4,82.5,2606,0.0,2.00048828125
2026-05-12T11:44:42.835913,83.1,82.1,2594,0.0,2.00048828125
2026-05-12T11:44:43.879010,75.1,81.8,2584,0.0,1.919921875
2026-05-12T11:44:46.630139,87.9,82.8,2615,0.0,1.919921875
2026-05-12T11:44:48.941564,86.3,86.9,2744,0.0,2.2470703125
2026-05-12T11:44:50.937927,92.0,82.8,2615,0.0,2.2470703125
2026-05-12T11:44:53.260442,85.0,82.2,2597,0.0,2.2470703125
2026-05-12T11:44:55.462406,92.5,82.8,2614,0.0,2.22705078125
2026-05-12T11:44:57.954159,68.7,81.9,2587,0.0,2.22705078125
2026-05-12T11:45:00.389167,81.7,86.5,2731,0.0,2.12841796875
2026-05-12T11:45:02.401313,67.2,80.9,2556,0.0,2.12841796875
2026-05-12T11:45:04.540917,66.8,81.3,2569,0.0,2.2783203125
2026-05-12T11:45:06.820475,61.1,80.6,2546,0.0,2.2783203125
2026-05-12T11:45:08.397155,52.1,81.8,2584,0.0,2.17578125
2026-05-12T11:45:11.981082,64.3,86.8,2742,0.0,2.17578125
2026-05-12T11:45:14.182170,65.5,82.1,2593,0.0,2.16162109375
2026-05-12T11:45:17.191361,57.2,82.3,2600,0.0,2.16162109375
2026-05-12T11:45:18.431081,66.8,82.5,2604,0.0,2.16162109375
2026-05-12T11:45:19.710875,38.0,82.3,2598,0.0,2.068359375
2026-05-12T11:45:22.425442,54.4,82.6,2610,0.0,2.068359375
2026-05-12T11:45:24.592429,63.8,82.4,2603,0.0,2.38330078125
2026-05-12T11:45:26.030006,57.8,82.7,2611,0.0,2.38330078125
2026-05-12T11:45:28.693914,56.6,82.8,2615,0.0,2.38330078125
2026-05-12T11:45:30.489310,54.6,83.0,2623,0.0,2.51318359375
2026-05-12T11:45:32.446188,49.2,82.5,2605,0.0,2.51318359375
2026-05-12T11:45:34.645692,74.3,88.2,2785,0.0,2.63232421875
2026-05-12T11:45:36.850702,59.8,83.2,2626,0.0,2.63232421875
2026-05-12T11:45:39.193166,67.9,83.1,2623,0.0,2.50146484375
2026-05-12T11:45:41.792324,62.1,83.2,2627,0.0,2.50146484375
2026-05-12T11:45:42.829327,40.9,83.5,2637,0.0,2.50146484375
2026-05-12T11:45:44.705542,64.6,87.9,2775,0.0,2.30078125
2026-05-12T11:45:47.674993,57.7,83.1,2625,0.0,2.30078125
2026-05-12T11:45:48.920023,55.5,83.1,2626,0.0,2.1962890625
2026-05-12T11:45:50.927190,55.3,83.2,2628,0.0,2.1962890625
2026-05-12T11:45:53.019991,53.7,83.5,2638,0.0,2.1962890625
2026-05-12T11:45:54.570622,45.2,83.4,2633,0.0,2.10009765625
2026-05-12T11:45:56.568513,55.7,88.5,2794,0.0,2.10009765625
2026-05-12T11:45:58.980206,97.4,89.4,2822,0.0,2.10009765625
2026-05-12T11:46:00.094680,32.9,83.3,2632,0.0,1.931640625
2026-05-12T11:46:07.572646,61.7,87.0,2747,0.0,2.017578125
2026-05-12T11:46:28.534571,0.0,73.0,2307,0.0,1.92578125
2026-05-12T11:46:32.204419,57.9,73.1,2308,0.0,1.92578125
2026-05-12T11:46:34.749490,64.6,77.6,2450,0.0,1.93212890625
2026-05-12T11:46:37.507735,65.8,73.2,2312,0.0,1.93212890625
2026-05-12T11:46:40.147981,55.4,74.0,2336,0.0,1.857421875
2026-05-12T11:46:42.716219,55.6,74.4,2350,0.0,1.857421875
2026-05-12T11:46:45.434172,54.4,74.8,2362,0.0,1.78857421875
2026-05-12T11:46:48.073761,70.9,74.1,2341,0.0,1.78857421875
2026-05-12T11:46:50.896438,54.5,74.3,2346,0.0,1.72509765625
2026-05-12T11:46:53.512804,59.3,74.1,2342,0.0,1.72509765625
